001.0|A00.0|Cholera due to Vibrio cholerae 01 biovar cholerae 
001.1|A00.1|Cholera due to Vibrio cholerae 01 biovar eltor 
001.9|A00.9|Cholera unspecified 
002.0|A01.00|Typhoid fever unspecified 
002.1|A01.1|Paratyphoid fever A 
002.2|A01.2|Paratyphoid fever B 
002.3|A01.3|Paratyphoid fever C 
002.9|A01.4|Paratyphoid fever unspecified 
003.0|A02.0|Salmonella enteritis 
003.1|A02.1|Salmonella sepsis 
003.20|A02.20|Localized salmonella infection unspecified 
003.21|A02.21|Salmonella meningitis 
003.22|A02.22|Salmonella pneumonia 
003.23|A02.23|Salmonella arthritis 
003.24|A02.24|Salmonella osteomyelitis 
003.29|A02.29|Salmonella with other localized infection 
003.8|A02.8|Other specified salmonella infections 
003.9|A02.9|Salmonella infection unspecified 
004.0|A03.0|Shigellosis due to Shigella dysenteriae 
004.1|A03.1|Shigellosis due to Shigella flexneri 
004.2|A03.2|Shigellosis due to Shigella boydii 
004.3|A03.3|Shigellosis due to Shigella sonnei 
004.8|A03.8|Other shigellosis 
004.9|A03.9|Shigellosis unspecified 
005.0|A05.0|Foodborne staphylococcal intoxication 
005.1|A05.1|Botulism food poisoning 
005.2|A05.2|Foodborne Clostridium perfringens [Clostridium welchii] intoxication 
005.3|A05.8|Other specified bacterial foodborne intoxications 
005.4|A05.3|Foodborne Vibrio parahaemolyticus intoxication 
005.81|A05.5|Foodborne Vibrio vulnificus intoxication 
005.89|A05.4|Foodborne Bacillus cereus intoxication 
005.9|A05.9|Bacterial foodborne intoxication unspecified 
006.0|A06.0|Acute amebic dysentery 
006.1|A06.1|Chronic intestinal amebiasis 
006.2|A06.2|Amebic nondysenteric colitis 
006.3|A06.4|Amebic liver abscess 
006.4|A06.5|Amebic lung abscess 
006.5|A06.6|Amebic brain abscess 
006.6|A06.7|Cutaneous amebiasis 
006.8|A06.89|Other amebic infections 
006.9|A06.9|Amebiasis unspecified 
007.0|A07.0|Balantidiasis 
007.1|A07.1|Giardiasis [lambliasis] 
007.2|A07.3|Isosporiasis 
007.3|A07.8|Other specified protozoal intestinal diseases 
007.4|A07.2|Cryptosporidiosis 
007.5|A07.4|Cyclosporiasis 
007.8|A07.8|Other specified protozoal intestinal diseases 
007.9|A07.9|Protozoal intestinal disease unspecified 
008.00|A04.4|Other intestinal Escherichia coli infections 
008.01|A04.0|Enteropathogenic Escherichia coli infection 
008.02|A04.1|Enterotoxigenic Escherichia coli infection 
008.03|A04.2|Enteroinvasive Escherichia coli infection 
008.04|A04.3|Enterohemorrhagic Escherichia coli infection 
008.09|A04.4|Other intestinal Escherichia coli infections 
008.1|A04.8|Other specified bacterial intestinal infections 
008.2|A04.8|Other specified bacterial intestinal infections 
